-----------epoch0-----------
loss:0.13984773 acc:0.391304347826087
--------------------val_loss:0.09968247 val_acc:0.5058823529411764
loss:0.11067796 acc:0.4782608695652174
loss:0.12051284 acc:0.4583333333333333
loss:0.09950282 acc:0.5263157894736842
loss:0.11065759 acc:0.5
loss:0.10192485 acc:0.4444444444444444
loss:0.124808535 acc:0.43478260869565216
loss:0.12003634 acc:0.45454545454545453
loss:0.10436521 acc:0.5
loss:0.096408136 acc:0.5454545454545454
loss:0.117789686 acc:0.5263157894736842
--------------------val_loss:0.10247133 val_acc:0.4823529411764706
loss:0.083923675 acc:0.45
loss:0.06592723 acc:0.6842105263157895
loss:0.13585684 acc:0.4444444444444444
loss:0.08124979 acc:0.5789473684210527
loss:0.11732401 acc:0.4782608695652174
loss:0.11165478 acc:0.5238095238095238
loss:0.10073115 acc:0.5714285714285714
loss:0.09967474 acc:0.47368421052631576
loss:0.10396999 acc:0.38095238095238093
loss:0.1372688 acc:0.4090909090909091
--------------------val_loss:0.098238334 val_acc:0.45348837209302323
loss:0.10998537 acc:0.44
loss:0.109405026 acc:0.42857142857142855
loss:0.13557884 acc:0.43478260869565216
loss:0.09914694 acc:0.52
loss:0.09901284 acc:0.55
loss:0.061993532 acc:0.631578947368421
loss:0.11390736 acc:0.45454545454545453
loss:0.117595196 acc:0.43478260869565216
loss:0.12327509 acc:0.36363636363636365
loss:0.11656405 acc:0.4583333333333333
--------------------val_loss:0.098357216 val_acc:0.4827586206896552
loss:0.15776172 acc:0.3793103448275862
loss:0.11511973 acc:0.6
loss:0.08470507 acc:0.5217391304347826
loss:0.11012085 acc:0.45454545454545453
loss:0.08927437 acc:0.5238095238095238
loss:0.14104131 acc:0.38461538461538464
loss:0.092266925 acc:0.5909090909090909
loss:0.11440568 acc:0.5238095238095238
loss:0.08373517 acc:0.5
loss:0.12812302 acc:0.44
--------------------val_loss:0.096170194 val_acc:0.5280898876404494
loss:0.09637509 acc:0.36363636363636365
loss:0.0798852 acc:0.5714285714285714
loss:0.16454789 acc:0.41379310344827586
loss:0.19653693 acc:0.36363636363636365
loss:0.07630796 acc:0.6363636363636364
loss:0.074907586 acc:0.65
loss:0.097180404 acc:0.5238095238095238
loss:0.11138377 acc:0.44
loss:0.08989668 acc:0.65
loss:0.14966123 acc:0.34615384615384615
--------------------val_loss:0.09708833 val_acc:0.4946236559139785
loss:0.106641866 acc:0.4230769230769231
loss:0.17169613 acc:0.3333333333333333
loss:0.12495848 acc:0.45
loss:0.12109418 acc:0.43478260869565216
loss:0.121402815 acc:0.45454545454545453
loss:0.09106035 acc:0.5454545454545454
loss:0.11753724 acc:0.5217391304347826
loss:0.089590885 acc:0.55
loss:0.07489458 acc:0.6842105263157895
loss:0.12674154 acc:0.52
--------------------val_loss:0.09219967 val_acc:0.5168539325842697
loss:0.09628241 acc:0.5833333333333334
loss:0.087060645 acc:0.6363636363636364
loss:0.11333145 acc:0.47619047619047616
loss:0.08817842 acc:0.6
loss:0.08869856 acc:0.5263157894736842
loss:0.074147746 acc:0.6190476190476191
loss:0.08918213 acc:0.56
loss:0.10618403 acc:0.43478260869565216
loss:0.08009305 acc:0.6
loss:0.108426034 acc:0.48
--------------------val_loss:0.093498155 val_acc:0.5054945054945055
loss:0.08112928 acc:0.6
loss:0.08655319 acc:0.5789473684210527
loss:0.08306286 acc:0.6
loss:0.07061515 acc:0.6666666666666666
loss:0.11022963 acc:0.5
loss:0.10484544 acc:0.56
loss:0.1066468 acc:0.5909090909090909
loss:0.12042848 acc:0.43478260869565216
loss:0.07158676 acc:0.7368421052631579
loss:0.08854844 acc:0.6363636363636364
--------------------val_loss:0.09222862 val_acc:0.5393258426966292
loss:0.11817145 acc:0.5
loss:0.08065452 acc:0.6842105263157895
loss:0.118054315 acc:0.44
loss:0.10528084 acc:0.4782608695652174
loss:0.11571957 acc:0.43478260869565216
loss:0.11934183 acc:0.4230769230769231
loss:0.08299228 acc:0.5652173913043478
loss:0.12908402 acc:0.4074074074074074
loss:0.10411324 acc:0.5416666666666666
loss:0.08250475 acc:0.6190476190476191
--------------------val_loss:0.09004736 val_acc:0.5227272727272727
loss:0.088892624 acc:0.6190476190476191
loss:0.07144713 acc:0.5714285714285714
loss:0.05268299 acc:0.7222222222222222
loss:0.09247781 acc:0.5714285714285714
loss:0.15184507 acc:0.42857142857142855
loss:0.18516174 acc:0.3
loss:0.10709886 acc:0.52
loss:0.15480255 acc:0.43333333333333335
loss:0.123093665 acc:0.43478260869565216
loss:0.10185566 acc:0.4583333333333333
--------------------val_loss:0.09007368 val_acc:0.5108695652173914
loss:0.13221303 acc:0.44
loss:0.08010716 acc:0.5833333333333334
loss:0.1502531 acc:0.47619047619047616
loss:0.078910455 acc:0.7
loss:0.114221714 acc:0.5238095238095238
loss:0.13437882 acc:0.34782608695652173
loss:0.14041296 acc:0.4074074074074074
