-----------epoch0-----------
loss:0.41329923 acc:0.18181818181818182
loss:0.35461807 acc:0.23809523809523808
loss:0.43920383 acc:0.14814814814814814
loss:0.37010303 acc:0.1
loss:0.4027237 acc:0.35
loss:0.3994335 acc:0.3
--------------------val_loss:0.3812854 val_acc:0.27586206896551724
loss:0.46135205 acc:0.2
loss:0.4532097 acc:0.07407407407407407
loss:0.43891686 acc:0.2
loss:0.40645257 acc:0.3076923076923077
loss:0.43419853 acc:0.3103448275862069
loss:0.38110605 acc:0.3684210526315789
loss:0.42681155 acc:0.3157894736842105
loss:0.41855556 acc:0.19230769230769232
loss:0.42767912 acc:0.25
loss:0.40798038 acc:0.2608695652173913
--------------------val_loss:0.41584554 val_acc:0.26136363636363635
loss:0.40760082 acc:0.24
loss:0.40774837 acc:0.3684210526315789
loss:0.3767751 acc:0.37037037037037035
loss:0.4097387 acc:0.2857142857142857
loss:0.3805677 acc:0.28
loss:0.389308 acc:0.375
loss:0.37850767 acc:0.21052631578947367
loss:0.4129444 acc:0.21052631578947367
loss:0.40298414 acc:0.21052631578947367
loss:0.40490717 acc:0.36363636363636365
--------------------val_loss:0.38562799 val_acc:0.29411764705882354
loss:0.40669212 acc:0.25
loss:0.39388233 acc:0.19047619047619047
loss:0.3867371 acc:0.25
loss:0.38030705 acc:0.35294117647058826
loss:0.41223806 acc:0.2727272727272727
loss:0.41467327 acc:0.23809523809523808
loss:0.37323672 acc:0.2631578947368421
loss:0.46226948 acc:0.07692307692307693
loss:0.3639417 acc:0.25
loss:0.4138938 acc:0.23076923076923078
--------------------val_loss:0.393704 val_acc:0.2441860465116279
loss:0.39119124 acc:0.25
loss:0.38558257 acc:0.2
loss:0.39371857 acc:0.3888888888888889
loss:0.40284753 acc:0.2608695652173913
loss:0.38959998 acc:0.38095238095238093
loss:0.41599232 acc:0.34782608695652173
loss:0.4252762 acc:0.24
loss:0.38536158 acc:0.38095238095238093
loss:0.40741825 acc:0.25925925925925924
loss:0.39538378 acc:0.3333333333333333
--------------------val_loss:0.39550215 val_acc:0.2247191011235955
loss:0.37536663 acc:0.38095238095238093
loss:0.38469392 acc:0.2222222222222222
loss:0.40417117 acc:0.16
loss:0.37467346 acc:0.4
loss:0.3756286 acc:0.17647058823529413
loss:0.4360768 acc:0.18181818181818182
loss:0.40694013 acc:0.13043478260869565
loss:0.38910025 acc:0.2857142857142857
loss:0.38511643 acc:0.2608695652173913
loss:0.38861787 acc:0.36363636363636365
--------------------val_loss:0.4005993 val_acc:0.26744186046511625
loss:0.40526643 acc:0.2916666666666667
loss:0.38088164 acc:0.19047619047619047
loss:0.43457922 acc:0.23076923076923078
loss:0.36526483 acc:0.3684210526315789
loss:0.465522 acc:0.2222222222222222
loss:0.43746218 acc:0.09523809523809523
loss:0.349963 acc:0.42857142857142855
loss:0.41738272 acc:0.13793103448275862
loss:0.4293921 acc:0.20833333333333334
loss:0.37344104 acc:0.2
--------------------val_loss:0.38215026 val_acc:0.32941176470588235
loss:0.4009243 acc:0.4
loss:0.38878924 acc:0.23333333333333334
loss:0.40819797 acc:0.3181818181818182
loss:0.48222026 acc:0.1111111111111111
loss:0.40147144 acc:0.2631578947368421
loss:0.40482736 acc:0.30434782608695654
loss:0.39173397 acc:0.36363636363636365
loss:0.4095339 acc:0.3333333333333333
loss:0.41646093 acc:0.21428571428571427
loss:0.44046092 acc:0.2
--------------------val_loss:0.38891768 val_acc:0.27906976744186046
loss:0.3889856 acc:0.32
loss:0.46281353 acc:0.19047619047619047
loss:0.4229607 acc:0.36363636363636365
loss:0.39284182 acc:0.3157894736842105
loss:0.39969903 acc:0.16
loss:0.43651184 acc:0.38461538461538464
loss:0.40746713 acc:0.45454545454545453
loss:0.39469182 acc:0.44
loss:0.36861962 acc:0.23809523809523808
loss:0.4017861 acc:0.17391304347826086
